,Line,Speaker,Text,Date,sentences,words,start,end
104,105,Holt,"All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",2016-09-26,"['All', 'right', '.', 'You', 'have', 'two', 'minutes', 'of', 'the', 'same', 'question', 'to', 'defend', 'tax', 'increases', 'on', 'the', 'wealthiest', 'Americans', ',', 'Secretary', 'Clinton', '.']","['All', 'right', '.', 'You', 'have', 'two', 'minutes', 'of', 'the', 'same', 'question', 'to', 'defend', 'tax', 'increases', 'on', 'the', 'wealthiest', 'Americans', ',', 'Secretary', 'Clinton', '.']",2844.5,2856.0
105,106,Clinton,"I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.",2016-09-26,"['I', 'have', 'a', 'feeling', 'that', 'by', ',', 'the', 'end', 'of', 'this', 'evening', ',', 'I', ""'m"", 'going', 'to', 'be', 'blamed', 'for', 'everything', 'that', ""'s"", 'ever', 'happened', '.']","['I', 'have', 'a', 'feeling', 'that', 'by', ',', 'the', 'end', 'of', 'this', 'evening', ',', 'I', ""'m"", 'going', 'to', 'be', 'blamed', 'for', 'everything', 'that', ""'s"", 'ever', 'happened', '.']",2857.0,2870.0
106,107,Trump,Why not?,2016-09-26,"['Why', 'not', '?']","['Why', 'not', '?']",2871.0,2872.5
107,108,Clinton,"Why not? Yeah, why not?",2016-09-26,"['Why', 'not', '?', 'Yeah', ',', 'why', 'not', '?']","['Why', 'not', '?', 'Yeah', ',', 'why', 'not', '?']",2873.5,2877.5
108,109,Audience,(LAUGHTER),2016-09-26,"['(', 'LAUGHTER', ')']","['(', 'LAUGHTER', ')']",2878.5,2880.0
109,110,Clinton,"You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case...",2016-09-26,"['You', 'know', ',', 'just', 'join', 'the', 'debate', 'by', 'saying', 'more', 'crazy', 'things', '.', 'Now', ',', 'let', 'me', 'say', 'this', ',', 'it', 'is', 'absolutely', 'the', 'case', '...']","['You', 'know', ',', 'just', 'join', 'the', 'debate', 'by', 'saying', 'more', 'crazy', 'things', '.', 'Now', ',', 'let', 'me', 'say', 'this', ',', 'it', 'is', 'absolutely', 'the', 'case', '...']",2881.0,2894.0
110,111,Trump,There's nothing crazy about not letting our companies bring their money back into their country.,2016-09-26,"['There', ""'s"", 'nothing', 'crazy', 'about', 'not', 'letting', 'our', 'companies', 'bring', 'their', 'money', 'back', 'into', 'their', 'country', '.']","['There', ""'s"", 'nothing', 'crazy', 'about', 'not', 'letting', 'our', 'companies', 'bring', 'their', 'money', 'back', 'into', 'their', 'country', '.']",2895.0,2903.5
111,112,Holt,"This is -- this is Secretary Clinton's two minutes, please.",2016-09-26,"['This', 'is', '--', 'this', 'is', 'Secretary', 'Clinton', ""'s"", 'two', 'minutes', ',', 'please', '.']","['This', 'is', '--', 'this', 'is', 'Secretary', 'Clinton', ""'s"", 'two', 'minutes', ',', 'please', '.']",2904.5,2911.0
112,113,Trump,Yes.,2016-09-26,"['Yes', '.']","['Yes', '.']",2912.0,2913.0
113,114,Clinton,"Yeah, well, let's start the clock again, Lester. We've looked at your tax proposals. I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas. I happen to support that.",2016-09-26,"['Yeah', ',', 'well', ',', 'let', ""'s"", 'start', 'the', 'clock', 'again', ',', 'Lester', '.', 'We', ""'ve"", 'looked', 'at', 'your', 'tax', 'proposals', '.', 'I', 'do', ""n't"", 'see', 'changes', 'in', 'the', 'corporate', 'tax', 'rates', 'or', 'the', 'kinds', 'of', 'proposals', 'you', ""'re"", 'referring', 'to', 'that', 'would', 'cause', 'the', 'repatriation', ',', 'bringing', 'back', 'of', 'money', 'that', ""'s"", 'stranded', 'overseas', '.', 'I', 'happen', 'to', 'support', 'that', '.']","['Yeah', ',', 'well', ',', 'let', ""'s"", 'start', 'the', 'clock', 'again', ',', 'Lester', '.', 'We', ""'ve"", 'looked', 'at', 'your', 'tax', 'proposals', '.', 'I', 'do', ""n't"", 'see', 'changes', 'in', 'the', 'corporate', 'tax', 'rates', 'or', 'the', 'kinds', 'of', 'proposals', 'you', ""'re"", 'referring', 'to', 'that', 'would', 'cause', 'the', 'repatriation', ',', 'bringing', 'back', 'of', 'money', 'that', ""'s"", 'stranded', 'overseas', '.', 'I', 'happen', 'to', 'support', 'that', '.']",2914.0,2944.5
114,115,Trump,Then you didn't read it.,2016-09-26,"['Then', 'you', 'did', ""n't"", 'read', 'it', '.']","['Then', 'you', 'did', ""n't"", 'read', 'it', '.']",2945.5,2949.0
115,116,Clinton,"I happen to -- I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You've proposed an approach that has a...",2016-09-26,"['I', 'happen', 'to', '--', 'I', 'happen', 'to', 'support', 'that', 'in', 'a', 'way', 'that', 'will', 'actually', 'work', 'to', 'our', 'benefit', '.', 'But', 'when', 'I', 'look', 'at', 'what', 'you', 'have', 'proposed', ',', 'you', 'have', 'what', 'is', 'called', 'now', 'the', 'Trump', 'loophole', ',', 'because', 'it', 'would', 'so', 'advantage', 'you', 'and', 'the', 'business', 'you', 'do', '.', 'You', ""'ve"", 'proposed', 'an', 'approach', 'that', 'has', 'a', '...']","['I', 'happen', 'to', '--', 'I', 'happen', 'to', 'support', 'that', 'in', 'a', 'way', 'that', 'will', 'actually', 'work', 'to', 'our', 'benefit', '.', 'But', 'when', 'I', 'look', 'at', 'what', 'you', 'have', 'proposed', ',', 'you', 'have', 'what', 'is', 'called', 'now', 'the', 'Trump', 'loophole', ',', 'because', 'it', 'would', 'so', 'advantage', 'you', 'and', 'the', 'business', 'you', 'do', '.', 'You', ""'ve"", 'proposed', 'an', 'approach', 'that', 'has', 'a', '...']",2950.0,2980.5
116,117,Trump,Who gave it that name? The first I've -- who gave it that name?,2016-09-26,"['Who', 'gave', 'it', 'that', 'name', '?', 'The', 'first', 'I', ""'ve"", '--', 'who', 'gave', 'it', 'that', 'name', '?']","['Who', 'gave', 'it', 'that', 'name', '?', 'The', 'first', 'I', ""'ve"", '--', 'who', 'gave', 'it', 'that', 'name', '?']",2981.5,2990.0
117,118,CANDIDATES,(CROSSTALK),2016-09-26,"['(', 'CROSSTALK', ')']","['(', 'CROSSTALK', ')']",2991.0,2992.5
118,119,Holt,"Mr. Trump, this is Secretary Clinton's two minutes.",2016-09-26,"['Mr.', 'Trump', ',', 'this', 'is', 'Secretary', 'Clinton', ""'s"", 'two', 'minutes', '.']","['Mr.', 'Trump', ',', 'this', 'is', 'Secretary', 'Clinton', ""'s"", 'two', 'minutes', '.']",2993.5,2999.0
119,120,Clinton,... $4 billion tax benefit for your family. And when you look at what you are proposing...,2016-09-26,"['...', '$', '4', 'billion', 'tax', 'benefit', 'for', 'your', 'family', '.', 'And', 'when', 'you', 'look', 'at', 'what', 'you', 'are', 'proposing', '...']","['...', '$', '4', 'billion', 'tax', 'benefit', 'for', 'your', 'family', '.', 'And', 'when', 'you', 'look', 'at', 'what', 'you', 'are', 'proposing', '...']",3000.0,3010.0
120,121,Trump,How much? How much for my family?,2016-09-26,"['How', 'much', '?', 'How', 'much', 'for', 'my', 'family', '?']","['How', 'much', '?', 'How', 'much', 'for', 'my', 'family', '?']",3011.0,3015.5
121,122,Clinton,... it is...,2016-09-26,"['...', 'it', 'is', '...']","['...', 'it', 'is', '...']",3016.5,3018.5
122,123,Trump,"Lester, how much?",2016-09-26,"['Lester', ',', 'how', 'much', '?']","['Lester', ',', 'how', 'much', '?']",3019.5,3022.0
123,124,Clinton,"... as I said, trumped-up trickle-down. Trickle-down did not work. It got us into the mess we were in, in 2008 and 2009. Slashing taxes on the wealthy hasn't worked. And a lot of really smart, wealthy people know that. And they are saying, hey, we need to do more to make the contributions we should be making to rebuild the middle class.",2016-09-26,"['...', 'as', 'I', 'said', ',', 'trumped-up', 'trickle-down', '.', 'Trickle-down', 'did', 'not', 'work', '.', 'It', 'got', 'us', 'into', 'the', 'mess', 'we', 'were', 'in', ',', 'in', '2008', 'and', '2009', '.', 'Slashing', 'taxes', 'on', 'the', 'wealthy', 'has', ""n't"", 'worked', '.', 'And', 'a', 'lot', 'of', 'really', 'smart', ',', 'wealthy', 'people', 'know', 'that', '.', 'And', 'they', 'are', 'saying', ',', 'hey', ',', 'we', 'need', 'to', 'do', 'more', 'to', 'make', 'the', 'contributions', 'we', 'should', 'be', 'making', 'to', 'rebuild', 'the', 'middle', 'class', '.']","['...', 'as', 'I', 'said', ',', 'trumped-up', 'trickle-down', '.', 'Trickle-down', 'did', 'not', 'work', '.', 'It', 'got', 'us', 'into', 'the', 'mess', 'we', 'were', 'in', ',', 'in', '2008', 'and', '2009', '.', 'Slashing', 'taxes', 'on', 'the', 'wealthy', 'has', ""n't"", 'worked', '.', 'And', 'a', 'lot', 'of', 'really', 'smart', ',', 'wealthy', 'people', 'know', 'that', '.', 'And', 'they', 'are', 'saying', ',', 'hey', ',', 'we', 'need', 'to', 'do', 'more', 'to', 'make', 'the', 'contributions', 'we', 'should', 'be', 'making', 'to', 'rebuild', 'the', 'middle', 'class', '.']",3023.0,3060.5
124,125,Clinton,"I don't think top-down works in America. I think building the middle class, investing in the middle class, making college debt-free so more young people can get their education, helping people refinance their -- their debt from college at a lower rate. Those are the kinds of things that will really boost the economy. Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.",2016-09-26,"['I', 'do', ""n't"", 'think', 'top-down', 'works', 'in', 'America', '.', 'I', 'think', 'building', 'the', 'middle', 'class', ',', 'investing', 'in', 'the', 'middle', 'class', ',', 'making', 'college', 'debt-free', 'so', 'more', 'young', 'people', 'can', 'get', 'their', 'education', ',', 'helping', 'people', 'refinance', 'their', '--', 'their', 'debt', 'from', 'college', 'at', 'a', 'lower', 'rate', '.', 'Those', 'are', 'the', 'kinds', 'of', 'things', 'that', 'will', 'really', 'boost', 'the', 'economy', '.', 'Broad-based', ',', 'inclusive', 'growth', 'is', 'what', 'we', 'need', 'in', 'America', ',', 'not', 'more', 'advantages', 'for', 'people', 'at', 'the', 'very', 'top', '.']","['I', 'do', ""n't"", 'think', 'top-down', 'works', 'in', 'America', '.', 'I', 'think', 'building', 'the', 'middle', 'class', ',', 'investing', 'in', 'the', 'middle', 'class', ',', 'making', 'college', 'debt-free', 'so', 'more', 'young', 'people', 'can', 'get', 'their', 'education', ',', 'helping', 'people', 'refinance', 'their', '--', 'their', 'debt', 'from', 'college', 'at', 'a', 'lower', 'rate', '.', 'Those', 'are', 'the', 'kinds', 'of', 'things', 'that', 'will', 'really', 'boost', 'the', 'economy', '.', 'Broad-based', ',', 'inclusive', 'growth', 'is', 'what', 'we', 'need', 'in', 'America', ',', 'not', 'more', 'advantages', 'for', 'people', 'at', 'the', 'very', 'top', '.']",3061.5,3102.5
125,126,Holt,"Mr. Trump, we're...",2016-09-26,"['Mr.', 'Trump', ',', 'we', ""'re"", '...']","['Mr.', 'Trump', ',', 'we', ""'re"", '...']",3103.5,3106.5
126,127,Trump,"Typical politician. All talk, no action. Sounds good, doesn't work. Never going to happen. Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on. Now, look, we have the worst revival of an economy since the Great Depression. And believe me: We're in a bubble right now. And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down. We are in a big, fat, ugly bubble. And we better be awfully careful. And we have a Fed that's doing political things. This Janet Yellen of the Fed. The Fed is doing political -- by keeping the interest rates at this level. And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job. The Fed is being more political than Secretary Clinton.",2016-09-26,"['Typical', 'politician', '.', 'All', 'talk', ',', 'no', 'action', '.', 'Sounds', 'good', ',', 'does', ""n't"", 'work', '.', 'Never', 'going', 'to', 'happen', '.', 'Our', 'country', 'is', 'suffering', 'because', 'people', 'like', 'Secretary', 'Clinton', 'have', 'made', 'such', 'bad', 'decisions', 'in', 'terms', 'of', 'our', 'jobs', 'and', 'in', 'terms', 'of', 'what', ""'s"", 'going', 'on', '.', 'Now', ',', 'look', ',', 'we', 'have', 'the', 'worst', 'revival', 'of', 'an', 'economy', 'since', 'the', 'Great', 'Depression', '.', 'And', 'believe', 'me', ':', 'We', ""'re"", 'in', 'a', 'bubble', 'right', 'now', '.', 'And', 'the', 'only', 'thing', 'that', 'looks', 'good', 'is', 'the', 'stock', 'market', ',', 'but', 'if', 'you', 'raise', 'interest', 'rates', 'even', 'a', 'little', 'bit', ',', 'that', ""'s"", 'going', 'to', 'come', 'crashing', 'down', '.', 'We', 'are', 'in', 'a', 'big', ',', 'fat', ',', 'ugly', 'bubble', '.', 'And', 'we', 'better', 'be', 'awfully', 'careful', '.', 'And', 'we', 'have', 'a', 'Fed', 'that', ""'s"", 'doing', 'political', 'things', '.', 'This', 'Janet', 'Yellen', 'of', 'the', 'Fed', '.', 'The', 'Fed', 'is', 'doing', 'political', '--', 'by', 'keeping', 'the', 'interest', 'rates', 'at', 'this', 'level', '.', 'And', 'believe', 'me', ':', 'The', 'day', 'Obama', 'goes', 'off', ',', 'and', 'he', 'leaves', ',', 'and', 'goes', 'out', 'to', 'the', 'golf', 'course', 'for', 'the', 'rest', 'of', 'his', 'life', 'to', 'play', 'golf', ',', 'when', 'they', 'raise', 'interest', 'rates', ',', 'you', ""'re"", 'going', 'to', 'see', 'some', 'very', 'bad', 'things', 'happen', ',', 'because', 'the', 'Fed', 'is', 'not', 'doing', 'their', 'job', '.', 'The', 'Fed', 'is', 'being', 'more', 'political', 'than', 'Secretary', 'Clinton', '.']","['Typical', 'politician', '.', 'All', 'talk', ',', 'no', 'action', '.', 'Sounds', 'good', ',', 'does', ""n't"", 'work', '.', 'Never', 'going', 'to', 'happen', '.', 'Our', 'country', 'is', 'suffering', 'because', 'people', 'like', 'Secretary', 'Clinton', 'have', 'made', 'such', 'bad', 'decisions', 'in', 'terms', 'of', 'our', 'jobs', 'and', 'in', 'terms', 'of', 'what', ""'s"", 'going', 'on', '.', 'Now', ',', 'look', ',', 'we', 'have', 'the', 'worst', 'revival', 'of', 'an', 'economy', 'since', 'the', 'Great', 'Depression', '.', 'And', 'believe', 'me', ':', 'We', ""'re"", 'in', 'a', 'bubble', 'right', 'now', '.', 'And', 'the', 'only', 'thing', 'that', 'looks', 'good', 'is', 'the', 'stock', 'market', ',', 'but', 'if', 'you', 'raise', 'interest', 'rates', 'even', 'a', 'little', 'bit', ',', 'that', ""'s"", 'going', 'to', 'come', 'crashing', 'down', '.', 'We', 'are', 'in', 'a', 'big', ',', 'fat', ',', 'ugly', 'bubble', '.', 'And', 'we', 'better', 'be', 'awfully', 'careful', '.', 'And', 'we', 'have', 'a', 'Fed', 'that', ""'s"", 'doing', 'political', 'things', '.', 'This', 'Janet', 'Yellen', 'of', 'the', 'Fed', '.', 'The', 'Fed', 'is', 'doing', 'political', '--', 'by', 'keeping', 'the', 'interest', 'rates', 'at', 'this', 'level', '.', 'And', 'believe', 'me', ':', 'The', 'day', 'Obama', 'goes', 'off', ',', 'and', 'he', 'leaves', ',', 'and', 'goes', 'out', 'to', 'the', 'golf', 'course', 'for', 'the', 'rest', 'of', 'his', 'life', 'to', 'play', 'golf', ',', 'when', 'they', 'raise', 'interest', 'rates', ',', 'you', ""'re"", 'going', 'to', 'see', 'some', 'very', 'bad', 'things', 'happen', ',', 'because', 'the', 'Fed', 'is', 'not', 'doing', 'their', 'job', '.', 'The', 'Fed', 'is', 'being', 'more', 'political', 'than', 'Secretary', 'Clinton', '.']",3107.5,3221.0
127,128,Holt,"Mr. Trump, we're talking about the burden that Americans have to pay, yet you have not released your tax returns. And the reason nominees have released their returns for decades is so that voters will know if their potential president owes money to -- who he owes it to and any business conflicts. Don't Americans have a right to know if there are any conflicts of interest?",2016-09-26,"['Mr.', 'Trump', ',', 'we', ""'re"", 'talking', 'about', 'the', 'burden', 'that', 'Americans', 'have', 'to', 'pay', ',', 'yet', 'you', 'have', 'not', 'released', 'your', 'tax', 'returns', '.', 'And', 'the', 'reason', 'nominees', 'have', 'released', 'their', 'returns', 'for', 'decades', 'is', 'so', 'that', 'voters', 'will', 'know', 'if', 'their', 'potential', 'president', 'owes', 'money', 'to', '--', 'who', 'he', 'owes', 'it', 'to', 'and', 'any', 'business', 'conflicts', '.', 'Do', ""n't"", 'Americans', 'have', 'a', 'right', 'to', 'know', 'if', 'there', 'are', 'any', 'conflicts', 'of', 'interest', '?']","['Mr.', 'Trump', ',', 'we', ""'re"", 'talking', 'about', 'the', 'burden', 'that', 'Americans', 'have', 'to', 'pay', ',', 'yet', 'you', 'have', 'not', 'released', 'your', 'tax', 'returns', '.', 'And', 'the', 'reason', 'nominees', 'have', 'released', 'their', 'returns', 'for', 'decades', 'is', 'so', 'that', 'voters', 'will', 'know', 'if', 'their', 'potential', 'president', 'owes', 'money', 'to', '--', 'who', 'he', 'owes', 'it', 'to', 'and', 'any', 'business', 'conflicts', '.', 'Do', ""n't"", 'Americans', 'have', 'a', 'right', 'to', 'know', 'if', 'there', 'are', 'any', 'conflicts', 'of', 'interest', '?']",3222.0,3259.0
128,129,Trump,"I don't mind releasing -- I'm under a routine audit. And it'll be released. And -- as soon as the audit's finished, it will be released. But you will learn more about Donald Trump by going down to the federal elections, where I filed a 104-page essentially financial statement of sorts, the forms that they have. It shows income -- in fact, the income -- I just looked today -- the income is filed at $694 million for this past year, $694 million. If you would have told me I was going to make that 15 or 20 years ago, I would have been very surprised. But that's the kind of thinking that our country needs. When we have a country that's doing so badly, that's being ripped off by every single country in the world, it's the kind of thinking that our country needs, because everybody -- Lester, we have a trade deficit with all of the countries that we do business with, of almost $800 billion a year. You know what that is? That means, who's negotiating these trade deals? We have people that are political hacks negotiating our trade deals.",2016-09-26,"['I', 'do', ""n't"", 'mind', 'releasing', '--', 'I', ""'m"", 'under', 'a', 'routine', 'audit', '.', 'And', 'it', ""'ll"", 'be', 'released', '.', 'And', '--', 'as', 'soon', 'as', 'the', 'audit', ""'s"", 'finished', ',', 'it', 'will', 'be', 'released', '.', 'But', 'you', 'will', 'learn', 'more', 'about', 'Donald', 'Trump', 'by', 'going', 'down', 'to', 'the', 'federal', 'elections', ',', 'where', 'I', 'filed', 'a', '104-page', 'essentially', 'financial', 'statement', 'of', 'sorts', ',', 'the', 'forms', 'that', 'they', 'have', '.', 'It', 'shows', 'income', '--', 'in', 'fact', ',', 'the', 'income', '--', 'I', 'just', 'looked', 'today', '--', 'the', 'income', 'is', 'filed', 'at', '$', '694', 'million', 'for', 'this', 'past', 'year', ',', '$', '694', 'million', '.', 'If', 'you', 'would', 'have', 'told', 'me', 'I', 'was', 'going', 'to', 'make', 'that', '15', 'or', '20', 'years', 'ago', ',', 'I', 'would', 'have', 'been', 'very', 'surprised', '.', 'But', 'that', ""'s"", 'the', 'kind', 'of', 'thinking', 'that', 'our', 'country', 'needs', '.', 'When', 'we', 'have', 'a', 'country', 'that', ""'s"", 'doing', 'so', 'badly', ',', 'that', ""'s"", 'being', 'ripped', 'off', 'by', 'every', 'single', 'country', 'in', 'the', 'world', ',', 'it', ""'s"", 'the', 'kind', 'of', 'thinking', 'that', 'our', 'country', 'needs', ',', 'because', 'everybody', '--', 'Lester', ',', 'we', 'have', 'a', 'trade', 'deficit', 'with', 'all', 'of', 'the', 'countries', 'that', 'we', 'do', 'business', 'with', ',', 'of', 'almost', '$', '800', 'billion', 'a', 'year', '.', 'You', 'know', 'what', 'that', 'is', '?', 'That', 'means', ',', 'who', ""'s"", 'negotiating', 'these', 'trade', 'deals', '?', 'We', 'have', 'people', 'that', 'are', 'political', 'hacks', 'negotiating', 'our', 'trade', 'deals', '.']","['I', 'do', ""n't"", 'mind', 'releasing', '--', 'I', ""'m"", 'under', 'a', 'routine', 'audit', '.', 'And', 'it', ""'ll"", 'be', 'released', '.', 'And', '--', 'as', 'soon', 'as', 'the', 'audit', ""'s"", 'finished', ',', 'it', 'will', 'be', 'released', '.', 'But', 'you', 'will', 'learn', 'more', 'about', 'Donald', 'Trump', 'by', 'going', 'down', 'to', 'the', 'federal', 'elections', ',', 'where', 'I', 'filed', 'a', '104-page', 'essentially', 'financial', 'statement', 'of', 'sorts', ',', 'the', 'forms', 'that', 'they', 'have', '.', 'It', 'shows', 'income', '--', 'in', 'fact', ',', 'the', 'income', '--', 'I', 'just', 'looked', 'today', '--', 'the', 'income', 'is', 'filed', 'at', '$', '694', 'million', 'for', 'this', 'past', 'year', ',', '$', '694', 'million', '.', 'If', 'you', 'would', 'have', 'told', 'me', 'I', 'was', 'going', 'to', 'make', 'that', '15', 'or', '20', 'years', 'ago', ',', 'I', 'would', 'have', 'been', 'very', 'surprised', '.', 'But', 'that', ""'s"", 'the', 'kind', 'of', 'thinking', 'that', 'our', 'country', 'needs', '.', 'When', 'we', 'have', 'a', 'country', 'that', ""'s"", 'doing', 'so', 'badly', ',', 'that', ""'s"", 'being', 'ripped', 'off', 'by', 'every', 'single', 'country', 'in', 'the', 'world', ',', 'it', ""'s"", 'the', 'kind', 'of', 'thinking', 'that', 'our', 'country', 'needs', ',', 'because', 'everybody', '--', 'Lester', ',', 'we', 'have', 'a', 'trade', 'deficit', 'with', 'all', 'of', 'the', 'countries', 'that', 'we', 'do', 'business', 'with', ',', 'of', 'almost', '$', '800', 'billion', 'a', 'year', '.', 'You', 'know', 'what', 'that', 'is', '?', 'That', 'means', ',', 'who', ""'s"", 'negotiating', 'these', 'trade', 'deals', '?', 'We', 'have', 'people', 'that', 'are', 'political', 'hacks', 'negotiating', 'our', 'trade', 'deals', '.']",3260.0,3374.0
129,130,Holt,The IRS says an audit...,2016-09-26,"['The', 'IRS', 'says', 'an', 'audit', '...']","['The', 'IRS', 'says', 'an', 'audit', '...']",3375.0,3378.0
130,131,Trump,Excuse me.,2016-09-26,"['Excuse', 'me', '.']","['Excuse', 'me', '.']",3379.0,3380.5
131,132,Holt,"... of your taxes -- you're perfectly free to release your taxes during an audit. And so the question, does the public's right to know outweigh your personal...",2016-09-26,"['...', 'of', 'your', 'taxes', '--', 'you', ""'re"", 'perfectly', 'free', 'to', 'release', 'your', 'taxes', 'during', 'an', 'audit', '.', 'And', 'so', 'the', 'question', ',', 'does', 'the', 'public', ""'s"", 'right', 'to', 'know', 'outweigh', 'your', 'personal', '...']","['...', 'of', 'your', 'taxes', '--', 'you', ""'re"", 'perfectly', 'free', 'to', 'release', 'your', 'taxes', 'during', 'an', 'audit', '.', 'And', 'so', 'the', 'question', ',', 'does', 'the', 'public', ""'s"", 'right', 'to', 'know', 'outweigh', 'your', 'personal', '...']",3381.5,3398.0
132,133,Trump,"Well, I told you, I will release them as soon as the audit. Look, I've been under audit almost for 15 years. I know a lot of wealthy people that have never been audited. I said, do you get audited? I get audited almost every year. And in a way, I should be complaining. I'm not even complaining. I don't mind it. It's almost become a way of life. I get audited by the IRS. But other people don't. I will say this. We have a situation in this country that has to be taken care of. I will release my tax returns -- against my lawyer's wishes -- when she releases her 33,000 e-mails that have been deleted. As soon as she releases them, I will release.",2016-09-26,"['Well', ',', 'I', 'told', 'you', ',', 'I', 'will', 'release', 'them', 'as', 'soon', 'as', 'the', 'audit', '.', 'Look', ',', 'I', ""'ve"", 'been', 'under', 'audit', 'almost', 'for', '15', 'years', '.', 'I', 'know', 'a', 'lot', 'of', 'wealthy', 'people', 'that', 'have', 'never', 'been', 'audited', '.', 'I', 'said', ',', 'do', 'you', 'get', 'audited', '?', 'I', 'get', 'audited', 'almost', 'every', 'year', '.', 'And', 'in', 'a', 'way', ',', 'I', 'should', 'be', 'complaining', '.', 'I', ""'m"", 'not', 'even', 'complaining', '.', 'I', 'do', ""n't"", 'mind', 'it', '.', 'It', ""'s"", 'almost', 'become', 'a', 'way', 'of', 'life', '.', 'I', 'get', 'audited', 'by', 'the', 'IRS', '.', 'But', 'other', 'people', 'do', ""n't"", '.', 'I', 'will', 'say', 'this', '.', 'We', 'have', 'a', 'situation', 'in', 'this', 'country', 'that', 'has', 'to', 'be', 'taken', 'care', 'of', '.', 'I', 'will', 'release', 'my', 'tax', 'returns', '--', 'against', 'my', 'lawyer', ""'s"", 'wishes', '--', 'when', 'she', 'releases', 'her', '33,000', 'e-mails', 'that', 'have', 'been', 'deleted', '.', 'As', 'soon', 'as', 'she', 'releases', 'them', ',', 'I', 'will', 'release', '.']","['Well', ',', 'I', 'told', 'you', ',', 'I', 'will', 'release', 'them', 'as', 'soon', 'as', 'the', 'audit', '.', 'Look', ',', 'I', ""'ve"", 'been', 'under', 'audit', 'almost', 'for', '15', 'years', '.', 'I', 'know', 'a', 'lot', 'of', 'wealthy', 'people', 'that', 'have', 'never', 'been', 'audited', '.', 'I', 'said', ',', 'do', 'you', 'get', 'audited', '?', 'I', 'get', 'audited', 'almost', 'every', 'year', '.', 'And', 'in', 'a', 'way', ',', 'I', 'should', 'be', 'complaining', '.', 'I', ""'m"", 'not', 'even', 'complaining', '.', 'I', 'do', ""n't"", 'mind', 'it', '.', 'It', ""'s"", 'almost', 'become', 'a', 'way', 'of', 'life', '.', 'I', 'get', 'audited', 'by', 'the', 'IRS', '.', 'But', 'other', 'people', 'do', ""n't"", '.', 'I', 'will', 'say', 'this', '.', 'We', 'have', 'a', 'situation', 'in', 'this', 'country', 'that', 'has', 'to', 'be', 'taken', 'care', 'of', '.', 'I', 'will', 'release', 'my', 'tax', 'returns', '--', 'against', 'my', 'lawyer', ""'s"", 'wishes', '--', 'when', 'she', 'releases', 'her', '33,000', 'e-mails', 'that', 'have', 'been', 'deleted', '.', 'As', 'soon', 'as', 'she', 'releases', 'them', ',', 'I', 'will', 'release', '.']",3399.0,3476.5
133,134,Audience,(APPLAUSE),2016-09-26,"['(', 'APPLAUSE', ')']","['(', 'APPLAUSE', ')']",3477.5,3479.0
134,135,Trump,"I will release my tax returns. And that's against -- my lawyers, they say, ""Don't do it."" I will tell you this. No -- in fact, watching shows, they're reading the papers. Almost every lawyer says, you don't release your returns until the audit's complete. When the audit's complete, I'll do it. But I would go against them if she releases her e-mails.",2016-09-26,"['I', 'will', 'release', 'my', 'tax', 'returns', '.', 'And', 'that', ""'s"", 'against', '--', 'my', 'lawyers', ',', 'they', 'say', ',', '``', 'Do', ""n't"", 'do', 'it', '.', ""''"", 'I', 'will', 'tell', 'you', 'this', '.', 'No', '--', 'in', 'fact', ',', 'watching', 'shows', ',', 'they', ""'re"", 'reading', 'the', 'papers', '.', 'Almost', 'every', 'lawyer', 'says', ',', 'you', 'do', ""n't"", 'release', 'your', 'returns', 'until', 'the', 'audit', ""'s"", 'complete', '.', 'When', 'the', 'audit', ""'s"", 'complete', ',', 'I', ""'ll"", 'do', 'it', '.', 'But', 'I', 'would', 'go', 'against', 'them', 'if', 'she', 'releases', 'her', 'e-mails', '.']","['I', 'will', 'release', 'my', 'tax', 'returns', '.', 'And', 'that', ""'s"", 'against', '--', 'my', 'lawyers', ',', 'they', 'say', ',', '``', 'Do', ""n't"", 'do', 'it', '.', ""''"", 'I', 'will', 'tell', 'you', 'this', '.', 'No', '--', 'in', 'fact', ',', 'watching', 'shows', ',', 'they', ""'re"", 'reading', 'the', 'papers', '.', 'Almost', 'every', 'lawyer', 'says', ',', 'you', 'do', ""n't"", 'release', 'your', 'returns', 'until', 'the', 'audit', ""'s"", 'complete', '.', 'When', 'the', 'audit', ""'s"", 'complete', ',', 'I', ""'ll"", 'do', 'it', '.', 'But', 'I', 'would', 'go', 'against', 'them', 'if', 'she', 'releases', 'her', 'e-mails', '.']",3480.0,3522.5
135,136,Holt,So it's negotiable?,2016-09-26,"['So', 'it', ""'s"", 'negotiable', '?']","['So', 'it', ""'s"", 'negotiable', '?']",3523.5,3526.0
